day	cases
10-12-2021	16608.14286
11-12-2021	15956
12-12-2021	15473.71429
13-12-2021	15170.57143
14-12-2021	14730
15-12-2021	14251.42857
16-12-2021	14015.85714
17-12-2021	13529.57143
18-12-2021	13517
19-12-2021	13082.28571
20-12-2021	12670.71429
21-12-2021	12370.28571
22-12-2021	12177.57143
23-12-2021	12079.14286
24-12-2021	12048.14286
25-12-2021	12390
