day	cases
30-11-2021	820
1-12-2021	811
2-12-2021	829
3-12-2021	726
4-12-2021	738
5-12-2021	831
6-12-2021	862
7-12-2021	929
8-12-2021	878
9-12-2021	932
10-12-2021	804
11-12-2021	780
12-12-2021	855
13-12-2021	902
14-12-2021	927
15-12-2021	922
16-12-2021	892
17-12-2021	856
18-12-2021	816
19-12-2021	1004
20-12-2021	1175
21-12-2021	1213
